time,RA,DEC,AZ,D(east),I(down), H,X (north),Y (east),Z (down),F(total)
91.73,111.6913,-20.027,-37.3964,7.9229363009,59.8659622957,22556.5115445,22341.1952711,3109.21323085,38858.8007233,44931.0873083
91.75,111.9043,-19.949,-36.3591,7.92294278298,59.8660255521,22556.4878193,22341.1714206,3109.21248808,38858.8586618,44931.1255061
91.77,112.1172,-19.8712,-35.3088,7.92294278298,59.8660255521,22556.4878193,22341.1714206,3109.21248808,38858.8586618,44931.1255061
91.79,112.3336,-19.7926,-34.2818,7.9228252009,59.8660928944,22555.6236482,22340.321879,3109.04752306,38857.4751133,44929.4951044
91.81,112.5489,-19.7124,-33.2666,7.9228252009,59.8660928944,22555.6236482,22340.321879,3109.04752306,38857.4751133,44929.4951044
91.83,112.7682,-19.6318,-32.2516,7.92270158363,59.8660968063,22554.7835169,22339.4964746,3108.883522,38856.0338958,44927.8268961
91.85,112.9866,-19.5503,-31.248,7.92270834684,59.8661628126,22554.7587619,22339.4715889,3108.8827468,38856.0943486,44927.8667514
91.87,113.209,-19.4675,-30.2647,7.92270834684,59.8661628126,22554.7587619,22339.4715889,3108.8827468,38856.0943486,44927.8667514
91.89,113.4303,-19.3845,-29.291,7.92259126453,59.8662299771,22553.8952682,22338.6226901,3108.718077,38854.711674,44926.2374459
91.91,113.6552,-19.2997,-28.2822,7.92259126453,59.8662299771,22553.8952682,22338.6226901,3108.718077,38854.711674,44926.2374459
91.93,113.8796,-19.2148,-27.2609,7.92247058352,59.8662326828,22553.056074,22337.7980533,3108.55535691,38853.2701784,44924.5694674
91.95,114.1073,-19.1286,-26.2532,7.92247697035,59.8662950217,22553.0326959,22337.7745518,3108.55462465,38853.3272681,44924.6071055
