# Time,nT,Gauss
9.504999999999999716e+01, -3.400066040200663701e+04, -3.400066040200663831e-01
9.506999999999999318e+01, -3.367165119568768569e+04, -3.367165119568769072e-01
9.509000000000000341e+01, -3.334535358327097492e+04, -3.334535358327097576e-01
9.510999999999999943e+01, -3.301819768622858828e+04, -3.301819768622858975e-01
9.512999999999999545e+01, -3.268416840457130093e+04, -3.268416840457130101e-01
9.515000000000000568e+01, -3.234926670582062434e+04, -3.234926670582062846e-01
9.517000000000000171e+01, -3.202035327226522350e+04, -3.202035327226522843e-01
9.518999999999999773e+01, -3.169640266323390824e+04, -3.169640266323391353e-01
9.520999999999999375e+01, -3.136633627194116343e+04, -3.136633627194116425e-01
9.523000000000000398e+01, -3.102802799169482023e+04, -3.102802799169482317e-01
9.525000000000000000e+01, -3.069175042146783744e+04, -3.069175042146783938e-01
9.526999999999999602e+01, -3.035733124642526673e+04, -3.035733124642526759e-01
9.529000000000000625e+01, -3.002350136434590968e+04, -3.002350136434591144e-01
9.531000000000000227e+01, -2.969546072929165894e+04, -2.969546072929166169e-01
9.532999999999999829e+01, -2.936794480200403996e+04, -2.936794480200404234e-01
9.534999999999999432e+01, -2.903904181102132134e+04, -2.903904181102132109e-01
9.537000000000000455e+01, -2.870769962470337487e+04, -2.870769962470337555e-01
9.539000000000000057e+01, -2.837243966055834608e+04, -2.837243966055834621e-01
